Software name	Version number	Main Uses
Python	3.11.0	Main programming environments
pandas	2.3.0	Data processing and analysis
numpy	1.24.2	Numerical calculations
jieba	0.42.1	Chinese word segmentation
gensim	4.3.3	LDA Topic Model
transformers	4.53.0	BERT sentiment analysis model
torch	2.7.1	Deep Learning Frameworks
scipy	1.10.1	Statistical tests
statsmodels	0.14.4	Time series analysis
pymannkendall	1.4.3	Mann-Kendall trend test
scikit-posthocs	0.11.4	Dunn's post hoc test
matplotlib	3.9.2	Data visualization
seaborn	0.13.2	Statistical chart
pyLDAvis	3.4.0	LDA Topic visualization
networkx	3.5	Network Analytics (Gephi data processing)
sklearn	1.6.1	Machine Learning toolkits
